iteration,random_shuffle_seed,ae_train_score,ae_validate_score,threshold_value,normal_train_ratio,normal_valid_ratio
0.000000000000000000e+00,7.965310000000000000e+05,1.461958760773044742e-02,1.610591909853562043e-02,4.908378293189253477e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,2.677170000000000000e+05,1.701929909985352984e-02,1.939334276886213460e-02,5.900228721720494895e-02,1.000000000000000000e+00,1.000000000000000000e+00
