iteration,random_shuffle_seed,ae_train_score,ae_validate_score,threshold_value,normal_train_ratio,normal_valid_ratio
0.000000000000000000e+00,2.145900000000000000e+05,1.459689619952114076e-02,1.541073038993448496e-02,4.962714175514223308e-02,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,4.743350000000000000e+05,1.513903174745801113e-02,1.589447482759298244e-02,5.099175679964129682e-02,1.000000000000000000e+00,1.000000000000000000e+00
